"variable","n","mean","sd","median","IQR","skew_raw","kurt_raw","sw_W_raw","sw_p_raw","skew_log","sw_W_log","n_zero_or_neg"
"RIDAGEYR",23389,49.3172431484886,17.422044179421,49,29,0.0747647135156631,-1.09842648408463,0.96107249737475,1.16830092914794e-34,-0.444444048516266,0.944534293894826,0
"WWI",23389,11.0885115120708,0.856157820511505,11.0912314130663,1.16288045208153,0.0246836270014073,-0.111186380086218,0.999559210430395,0.320621674374101,-0.194113908482914,0.996412662385321,0
"BMXBMI",23359,29.3675456997303,7.0589410165028,28.2,8.6,1.16379937051621,2.46927348578823,0.937597422248026,1.31878428295002e-41,0.362946270659256,0.991914343265554,0
"BMXWAIST",23389,99.8396810466459,16.7463834318859,98.4,21.8,0.601685035642427,0.503475226971089,0.979243709197368,1.98379005648129e-26,0.121909785540143,0.998205506929501,0
"BMXWT",23389,82.0318183761597,21.8475911046807,78.8,26.9,1.01586932701359,1.75647786403559,0.953229076169321,2.77868897498043e-37,0.185121847489835,0.997354848940671,0
"INDFMPIR",21024,2.5148354261796,1.63632516778583,2.1,2.99,0.338138404338021,-1.30759945413204,0.893046217894671,2.38974735101367e-50,-1.29243559425626,0.883166584398062,172
"alcohol",15031,2.65644335040915,2.4093115199369,2,2,4.99654481172193,89.2212315055422,0.594839111333194,1.14544067353897e-75,0.639377533736158,0.878284598751623,0
"LBXTR",10684,117.287813552976,103.811849608759,94,75,11.4204937258604,312.350981062887,0.564181975961542,3.30886911699582e-77,0.375606719823246,0.990213192143346,0
"LBDHDD",22126,53.2884841363102,16.1298986946187,51,20,1.20365852635063,3.52149565670299,0.936684594343134,7.86827164285309e-42,0.0446298608377477,0.997987171239357,0
"LBDLDL",10547,111.27827818337,35.6071824844979,109,47,0.672914400198356,1.48438586078338,0.97433305715912,4.46263891946065e-29,-0.607574707626257,0.981724933139203,0
"LBXTC",22126,189.320347102956,41.5638594531759,186,53,0.864043732571032,4.51632713457277,0.979883710632368,4.75019322072079e-26,-0.124499698051789,0.994719659202975,0
