"file","n_rows","n_cols"
"ALQ_G.rds",5615,10
"ALQ_H.rds",5924,10
"ALQ_I.rds",5735,10
"BMX_G.rds",9338,26
"BMX_H.rds",9813,26
"BMX_I.rds",9544,26
"BPQ_G.rds",6175,15
"BPQ_H.rds",6464,14
"BPQ_I.rds",6327,11
"DEMO_G.rds",9756,48
"DEMO_H.rds",10175,47
"DEMO_I.rds",9971,47
"DIQ_G.rds",9364,53
"DIQ_H.rds",9770,54
"DIQ_I.rds",9575,54
"HDL_G.rds",7821,3
"HDL_H.rds",8291,3
"HDL_I.rds",8021,3
"MCQ_G.rds",9364,92
"MCQ_H.rds",9770,95
"MCQ_I.rds",9575,90
"P_ALQ.rds",8965,10
"P_BMX.rds",14300,22
"P_BPQ.rds",10195,11
"P_DEMO.rds",15560,29
"P_DIQ.rds",14986,28
"P_HDL.rds",12198,3
"P_MCQ.rds",14986,63
"P_SMQ.rds",11137,16
"P_TCHOL.rds",12198,3
"P_TRIGLY.rds",5090,10
"SMQ_G.rds",6790,30
"SMQ_H.rds",7168,32
"SMQ_I.rds",7001,42
"TCHOL_G.rds",7821,3
"TCHOL_H.rds",8291,3
"TCHOL_I.rds",8021,3
"TRIGLY_G.rds",3239,6
"TRIGLY_H.rds",3329,6
"TRIGLY_I.rds",3191,6
