"section","row","level","col","type","repro","repro_sd","paper","paper_sd","p_repro","p_paper","diff","diff_sd"
"N","N","","Q1","n",5847,NA,5847,NA,"","",0,NA
"N","N","","Q2","n",5847,NA,5847,NA,"","",0,NA
"N","N","","Q3","n",5847,NA,5847,NA,"","",0,NA
"N","N","","Q4","n",5848,NA,5848,NA,"","",0,NA
"Age (years)","Age (years)","","Q1","cont",37.0646921421104,13.4461688246734,37.06,13.45,"<0.001","<0.001",0.00469214211037183,-0.00383117532661004
"Age (years)","Age (years)","","Q2","cont",46.3325586999537,15.0498409247023,46.33,15.05,"<0.001","<0.001",0.00255869995365288,-0.000159075297712974
"Age (years)","Age (years)","","Q3","cont",51.7358588120192,15.904309366332,51.74,15.9,"<0.001","<0.001",-0.00414118798080665,0.00430936633198264
"Age (years)","Age (years)","","Q4","cont",57.4699102050473,16.1459039812156,57.47,16.14,"<0.001","<0.001",-8.97949527356445e-05,0.00590398121560298
"Sex, (%)","Sex, (%)","Male","Q1","cat",59.0236140154596,NA,59.02,NA,"<0.001","<0.001",0.00361401545959694,NA
"Sex, (%)","Sex, (%)","Male","Q2","cat",52.3324170061057,NA,52.33,NA,"<0.001","<0.001",0.00241700610572337,NA
"Sex, (%)","Sex, (%)","Male","Q3","cat",46.0659015791866,NA,46.07,NA,"<0.001","<0.001",-0.00409842081338496,NA
"Sex, (%)","Sex, (%)","Male","Q4","cat",32.2861531878825,NA,32.29,NA,"<0.001","<0.001",-0.00384681211748017,NA
"Sex, (%)","Sex, (%)","Female","Q1","cat",40.9763859845404,NA,40.98,NA,"<0.001","<0.001",-0.00361401545959694,NA
"Sex, (%)","Sex, (%)","Female","Q2","cat",47.6675829938943,NA,47.67,NA,"<0.001","<0.001",-0.00241700610572337,NA
"Sex, (%)","Sex, (%)","Female","Q3","cat",53.9340984208134,NA,53.93,NA,"<0.001","<0.001",0.00409842081338496,NA
"Sex, (%)","Sex, (%)","Female","Q4","cat",67.7138468121175,NA,67.71,NA,"<0.001","<0.001",0.00384681211747306,NA
"Race/ethnicity, (%)","Race/ethnicity, (%)","Non-Hispanic White","Q1","cat",64.3914582175781,NA,64.39,NA,"<0.001","<0.001",0.00145821757811859,NA
