"Characteristic","Q1 (n=5847)","Q2 (n=5847)","Q3 (n=5847)","Q4 (n=5848)","P value"
"Age (years)","37.06 ± 13.45","46.33 ± 15.05","51.74 ± 15.90","57.47 ± 16.15","<0.001"
"Sex, (%)","","","","","<0.001"
"  Male","59.02","52.33","46.07","32.29",""
"  Female","40.98","47.67","53.93","67.71",""
"Race/ethnicity, (%)","","","","","<0.001"
"  Non-Hispanic White","64.39","64.73","64.07","67.08",""
"  Non-Hispanic Black","14.97","10.25","10.01","9.27",""
"  Mexican American","5.58","8.57","10.60","9.91",""
"  Other race/multiracial","15.06","16.45","15.32","13.74",""
"Education level, (%)","","","","","<0.001"
"  Less than high school","9.01","12.32","16.07","19.36",""
"  High school","18.20","21.32","24.16","26.45",""
"  More than high school","72.79","66.36","59.77","54.19",""
"Smoking, (%)","","","","","<0.001"
"  Ever","36.93","43.62","46.89","47.94",""
"  Never","63.07","56.38","53.11","52.06",""
"Diabetes, (%)","","","","","<0.001"
"  No","96.99","91.40","85.15","73.22",""
"  Yes","3.01","8.60","14.85","26.78",""
"High blood pressure, (%)","","","","","<0.001"
"  No","86.11","70.93","61.17","47.19",""
"  Yes","13.89","29.07","38.83","52.81",""
"Coronary heart disease, (%)","","","","","<0.001"
"  No","99.16","97.76","95.70","92.77",""
"  Yes","0.84","2.24","4.30","7.23",""
"Cancer, (%)","","","","","<0.001"
"  No","94.91","90.25","88.12","83.11",""
"  Yes","5.09","9.75","11.88","16.89",""
"Stroke, (%)","","","","","<0.001"
"  No","99.10","98.00","96.92","94.51",""
"  Yes","0.90","2.00","3.08","5.49",""
"BMI","24.96 ± 4.70","28.32 ± 5.32","30.67 ± 6.37","34.23 ± 7.83","<0.001"
"Waist circumference","86.09 ± 10.56","97.24 ± 11.61","104.79 ± 13.19","115.34 ± 16.13","<0.001"
"PIR","3.13 ± 1.68","3.19 ± 1.64","2.99 ± 1.66","2.62 ± 1.59","<0.001"
"Weight","74.70 ± 16.85","82.06 ± 19.42","86.29 ± 21.81","91.65 ± 25.21","<0.001"
"Alcohol (drinks/day)","2.90 ± 2.50","2.69 ± 2.36","2.55 ± 2.17","2.32 ± 2.21","<0.001"
"Triglycerides","95.87 ± 91.84","117.63 ± 98.44","133.52 ± 119.59","137.79 ± 88.46","<0.001"
"HDL-C","57.47 ± 16.60","54.03 ± 16.98","52.18 ± 17.13","51.10 ± 14.77","<0.001"
"LDL-C","106.90 ± 33.10","115.54 ± 34.59","116.29 ± 36.56","111.99 ± 36.46","<0.001"
"Total cholesterol","183.27 ± 38.35","194.52 ± 40.15","196.31 ± 42.83","192.50 ± 43.94","<0.001"
