"Characteristic","Q1","Q2","Q3","Q4","P"
"Age (years)","37.06 ± 13.45","46.33 ± 15.05","51.74 ± 15.90","57.47 ± 16.15","<0.001"
"Sex","","","","","<0.001"
"  Male","59.02","52.33","46.07","32.29",""
"  Female","40.98","47.67","53.93","67.71",""
"Race/ethnicity","","","","","<0.001"
"  Non-Hispanic White","64.39","64.73","64.07","67.08",""
"  Non-Hispanic Black","14.97","10.25","10.01","9.27",""
"  Mexican American","5.58","8.57","10.60","9.91",""
"  Other race/multiracial","15.06","16.45","15.32","13.74",""
"Education level","","","","","<0.001"
"  Less than high school","9.01","12.32","16.07","19.36",""
"  High school","18.20","21.32","24.16","26.45",""
"  More than high school","72.79","66.36","59.77","54.19",""
"Smoking","","","","","<0.001"
"  Ever","36.93","43.62","46.89","47.94",""
"  Never","63.07","56.38","53.11","52.06",""
"Diabetes","","","","","<0.001"
"  Yes","3.01","8.60","14.85","26.78",""
"  No","96.99","91.40","85.15","73.22",""
"High blood pressure","","","","","<0.001"
"  Yes","13.89","29.07","38.83","52.81",""
"  No","86.11","70.93","61.17","47.19",""
"Coronary heart disease","","","","","<0.001"
"  Yes","0.84","2.24","4.30","7.23",""
"  No","99.16","97.76","95.70","92.77",""
"Cancer","","","","","<0.001"
"  Yes","5.09","9.75","11.88","16.89",""
"  No","94.91","90.25","88.12","83.11",""
"Stroke","","","","","<0.001"
"  Yes","0.90","2.00","3.08","5.49",""
"  No","99.10","98.00","96.92","94.51",""
"PIR","3.08 ± 1.62","3.14 ± 1.59","2.96 ± 1.60","2.61 ± 1.52","<0.001"
"Weight","74.70 ± 16.85","82.06 ± 19.42","86.29 ± 21.81","91.65 ± 25.21","<0.001"
"Average alcohol consumption","3.24 ± 18.67","4.29 ± 39.96","2.99 ± 20.49","3.33 ± 29.64","0.187"
"Triglycerides","107.48 ± 63.04","117.45 ± 67.71","124.53 ± 80.29","126.97 ± 61.63","<0.001"
"HDL-C","57.27 ± 16.23","54.00 ± 16.65","52.22 ± 16.84","51.20 ± 14.41","<0.001"
"LDL-C","109.30 ± 22.37","113.27 ± 23.74","113.47 ± 24.32","111.61 ± 24.88","<0.001"
"Total cholesterol","183.55 ± 37.46","194.32 ± 39.38","196.08 ± 42.12","192.35 ± 42.86","<0.001"
"BMI","24.96 ± 4.70","28.32 ± 5.32","30.67 ± 6.37","34.23 ± 7.83","<0.001"
"Waist circumference","86.09 ± 10.56","97.24 ± 11.61","104.79 ± 13.19","115.34 ± 16.13","<0.001"
