family,n,test,paper_percent
gamma,10,welch,2.8
gamma,10,wmw,6.3
gamma,25,welch,3.9
gamma,25,wmw,10.3
gamma,50,welch,5.0
gamma,50,wmw,15.9
gamma,100,welch,4.9
gamma,100,wmw,28.1
gamma,250,welch,4.9
gamma,250,wmw,57.5
gamma,500,welch,4.8
gamma,500,wmw,85.7
gamma,1000,welch,5.1
gamma,1000,wmw,98.8
lognormal,10,welch,3.6
lognormal,10,wmw,4.3
lognormal,25,welch,4.3
lognormal,25,wmw,5.1
lognormal,50,welch,5.0
lognormal,50,wmw,6.1
lognormal,100,welch,4.6
lognormal,100,wmw,7.0
lognormal,250,welch,4.9
lognormal,250,wmw,10.6
lognormal,500,welch,4.8
lognormal,500,wmw,16.3
lognormal,1000,welch,4.9
lognormal,1000,wmw,27.6
