"family","alignment","n","skewness","sd_ratio","test","rejection_rate","mcse","lower","upper","reps","seed"
"gamma","mean",10,3,1.1,"welch",0.0284,0.00166112732805165,0.0251441904370188,0.0316558095629812,10000,22697477
"gamma","mean",10,3,1.1,"wmw",0.0626,0.00242242110294639,0.0578520546382251,0.0673479453617749,10000,22697477
"gamma","mean",25,3,1.1,"welch",0.043,0.00202857092555326,0.0390240009859156,0.0469759990140844,10000,22697478
"gamma","mean",25,3,1.1,"wmw",0.1017,0.00302253387077796,0.0957758336132752,0.107624166386725,10000,22697478
"gamma","mean",50,3,1.1,"welch",0.0421,0.00200817305031215,0.0381639808213882,0.0460360191786118,10000,22697479
"gamma","mean",50,3,1.1,"wmw",0.1555,0.00362380670014282,0.14839733886772,0.16260266113228,10000,22697479
"gamma","mean",100,3,1.1,"welch",0.0479,0.00213554653426237,0.0437143287928458,0.0520856712071542,10000,22697480
"gamma","mean",100,3,1.1,"wmw",0.2762,0.00447116942197452,0.26743650793293,0.28496349206707,10000,22697480
"gamma","mean",250,3,1.1,"welch",0.0491,0.00216076815045021,0.0448648944251176,0.0533351055748824,10000,22697481
"gamma","mean",250,3,1.1,"wmw",0.572,0.00494788843851597,0.562302138660509,0.581697861339491,10000,22697481
"gamma","mean",500,3,1.1,"welch",0.0499,0.00217738352156895,0.0456323282977249,0.0541676717022751,10000,22697482
"gamma","mean",500,3,1.1,"wmw",0.8544,0.00352704749046564,0.847486986918687,0.861313013081313,10000,22697482
"gamma","mean",1000,3,1.1,"welch",0.0493,0.00216493671962947,0.0450567240295262,0.0535432759704738,10000,22697483
"gamma","mean",1000,3,1.1,"wmw",0.9894,0.00102409179276079,0.987392780086189,0.991407219913811,10000,22697483
"lognormal","mean",10,3,1.1,"welch",0.0371,0.00189006851727656,0.033395465706138,0.040804534293862,10000,22697484
"lognormal","mean",10,3,1.1,"wmw",0.0452,0.00207742532958468,0.041128246354014,0.049271753645986,10000,22697484
"lognormal","mean",25,3,1.1,"welch",0.0421,0.00200817305031215,0.0381639808213882,0.0460360191786118,10000,22697485
"lognormal","mean",25,3,1.1,"wmw",0.0513,0.00220608952674183,0.046976064527586,0.055623935472414,10000,22697485
"lognormal","mean",50,3,1.1,"welch",0.0479,0.00213554653426237,0.0437143287928458,0.0520856712071542,10000,22697486
"lognormal","mean",50,3,1.1,"wmw",0.0586,0.00234874519690834,0.0539964594140597,0.0632035405859403,10000,22697486
"lognormal","mean",100,3,1.1,"welch",0.0499,0.00217738352156895,0.0456323282977249,0.0541676717022751,10000,22697487
"lognormal","mean",100,3,1.1,"wmw",0.07,0.00255147016443461,0.0649991184777082,0.0750008815222919,10000,22697487
"lognormal","mean",250,3,1.1,"welch",0.0502,0.00218357413430366,0.0459201946967648,0.0544798053032352,10000,22697488
"lognormal","mean",250,3,1.1,"wmw",0.1037,0.00304870972708128,0.0977245289349207,0.109675471065079,10000,22697488
"lognormal","mean",500,3,1.1,"welch",0.0483,0.00214399416976819,0.0440977714272543,0.0525022285727457,10000,22697489
"lognormal","mean",500,3,1.1,"wmw",0.159,0.00365676086174636,0.151832748710977,0.166167251289023,10000,22697489
"lognormal","mean",1000,3,1.1,"welch",0.0502,0.00218357413430366,0.0459201946967648,0.0544798053032352,10000,22697490
"lognormal","mean",1000,3,1.1,"wmw",0.2668,0.00442286965668219,0.258131175472903,0.275468824527097,10000,22697490
