"family","alignment","n","skewness","sd_ratio","test","rejection_rate","mcse","lower","upper","reps","seed"
"gamma","mean",1000,1,1.05,"welch",0.062,0.0107848041243223,0.0408617839163282,0.0831382160836718,500,22701477
"gamma","mean",1000,1,1.05,"wmw",0.074,0.0117067501895274,0.0510547696285263,0.0969452303714737,500,22701477
"gamma","mean",1000,1,1.1,"welch",0.04,0.00876356092008266,0.022823420596638,0.057176579403362,500,22701478
"gamma","mean",1000,1,1.1,"wmw",0.098,0.0132963152790538,0.0719392220530545,0.124060777946945,500,22701478
"gamma","mean",1000,1,1.15,"welch",0.044,0.00917213170424411,0.0260226218596815,0.0619773781403185,500,22701479
"gamma","mean",1000,1,1.15,"wmw",0.126,0.0148407546977908,0.09691212079233,0.15508787920767,500,22701479
"gamma","mean",1000,1,1.2,"welch",0.052,0.00992935043192655,0.032538473153424,0.071461526846576,500,22701480
"gamma","mean",1000,1,1.2,"wmw",0.172,0.0168769665520792,0.138921145557925,0.205078854442075,500,22701480
"gamma","mean",1000,1,1.25,"welch",0.048,0.00955991631762538,0.0292625640174543,0.0667374359825458,500,22701481
"gamma","mean",1000,1,1.25,"wmw",0.236,0.0189896814085966,0.198780224439151,0.273219775560849,500,22701481
"gamma","mean",1000,1,1.3,"welch",0.058,0.0104533248299285,0.0375114833333401,0.0784885166666599,500,22701482
"gamma","mean",1000,1,1.3,"wmw",0.336,0.0211236360506424,0.294597673340741,0.377402326659259,500,22701482
"gamma","mean",1000,1,1.4,"welch",0.048,0.00955991631762538,0.0292625640174543,0.0667374359825458,500,22701483
"gamma","mean",1000,1,1.4,"wmw",0.488,0.0223542389716134,0.444185691615638,0.531814308384362,500,22701483
"gamma","mean",1000,1,1.5,"welch",0.056,0.0102824121683582,0.035846472150018,0.076153527849982,500,22701484
"gamma","mean",1000,1,1.5,"wmw",0.588,0.0220116332878776,0.54485719875576,0.63114280124424,500,22701484
"gamma","mean",1000,2,1.05,"welch",0.038,0.00855055553750749,0.0212409111464853,0.0547590888535147,500,22701485
"gamma","mean",1000,2,1.05,"wmw",0.12,0.014532721699668,0.0915158654686508,0.148484134531349,500,22701485
"gamma","mean",1000,2,1.1,"welch",0.058,0.0104533248299285,0.0375114833333401,0.0784885166666599,500,22701486
"gamma","mean",1000,2,1.1,"wmw",0.394,0.021852414054287,0.351169268453598,0.436830731546403,500,22701486
"gamma","mean",1000,2,1.15,"welch",0.044,0.00917213170424411,0.0260226218596815,0.0619773781403185,500,22701487
"gamma","mean",1000,2,1.15,"wmw",0.638,0.0214921380974532,0.595875409328992,0.680124590671008,500,22701487
"gamma","mean",1000,2,1.2,"welch",0.062,0.0107848041243223,0.0408617839163282,0.0831382160836718,500,22701488
"gamma","mean",1000,2,1.2,"wmw",0.842,0.0163117135825762,0.810029041378151,0.873970958621849,500,22701488
"gamma","mean",1000,2,1.25,"welch",0.048,0.00955991631762538,0.0292625640174543,0.0667374359825458,500,22701489
"gamma","mean",1000,2,1.25,"wmw",0.928,0.0115599307956406,0.905342535640544,0.950657464359456,500,22701489
"gamma","mean",1000,2,1.3,"welch",0.046,0.00936845771725528,0.0276378228741797,0.0643621771258203,500,22701490
"gamma","mean",1000,2,1.3,"wmw",0.976,0.00684455988358638,0.962584662628171,0.989415337371829,500,22701490
"gamma","mean",1000,2,1.4,"welch",0.06,0.0106207344378814,0.0391833605017525,0.0808166394982475,500,22701491
"gamma","mean",1000,2,1.4,"wmw",0.996,0.00282276460230038,0.990467381379491,1,500,22701491
