"family","alignment","n","skewness","sd_ratio","test","rejection_rate","mcse","lower","upper","reps","seed","stage","paper_rate"
"gamma","mean",1000,3,1.1,"welch",0.059,0.00745110730026081,0.0443958296914888,0.0736041703085112,1000,22698277,"pilot",0.051
"gamma","mean",1000,3,1.1,"wmw",0.985,0.00384382621875652,0.977466100611237,0.992533899388763,1000,22698277,"pilot",0.988
"gamma","median",1000,3,1.1,"welch",0.135,0.0108062481925967,0.11381975354251,0.15618024645749,1000,22698278,"pilot",0.051
"gamma","median",1000,3,1.1,"wmw",0.386,0.015394934231753,0.355825928905764,0.416174071094236,1000,22698278,"pilot",0.988
"lognormal","mean",1000,3,1.1,"welch",0.053,0.00708456067798138,0.0391142610711565,0.0668857389288435,1000,22698279,"pilot",0.049
"lognormal","mean",1000,3,1.1,"wmw",0.259,0.0138534833164804,0.231847172699698,0.286152827300302,1000,22698279,"pilot",0.276
"lognormal","median",1000,3,1.1,"welch",0.087,0.00891240708226459,0.0695316821187614,0.104468317881239,1000,22698280,"pilot",0.049
"lognormal","median",1000,3,1.1,"wmw",0.062,0.00762600813007697,0.0470530240650491,0.0769469759349509,1000,22698280,"pilot",0.276
"gamma","mean",1000,3,1.1,"welch",0.0529,0.00223833844625874,0.0485128566453329,0.0572871433546671,10000,22698377,"confirmation",0.051
"gamma","mean",1000,3,1.1,"wmw",0.9884,0.00107076794871718,0.986301294820514,0.990498705179486,10000,22698377,"confirmation",0.988
"lognormal","mean",1000,3,1.1,"welch",0.0478,0.00213342822705616,0.0436184806749699,0.0519815193250301,10000,22698378,"confirmation",0.049
"lognormal","mean",1000,3,1.1,"wmw",0.2621,0.00439776750181271,0.253480375696447,0.270719624303553,10000,22698378,"confirmation",0.276
