"Characteristic","Q1","Q2","Q3","Q4","P"
"Age (years)","37.05 ± 13.51","46.30 ± 15.12","51.80 ± 16.06","57.83 ± 16.20","<0.001"
"Sex","","","","","<0.001"
"  Male","59.03","52.93","46.57","31.94",""
"  Female","40.97","47.07","53.43","68.06",""
"Race/ethnicity","","","","","<0.001"
"  Non-Hispanic White","63.85","64.55","63.72","67.19",""
"  Non-Hispanic Black","14.93","10.16","10.00","9.10",""
"  Mexican American","5.68","8.53","10.65","9.57",""
"  Other race/multiracial","15.54","16.76","15.63","14.13",""
"Education level","","","","","<0.001"
"  Less than high school","8.72","12.08","15.80","18.80",""
"  High school","18.96","21.75","25.04","27.54",""
"  More than high school","72.32","66.17","59.16","53.66",""
"Smoking","","","","","<0.001"
"  Ever","36.79","43.78","46.89","47.54",""
"  Never","63.21","56.22","53.11","52.46",""
"Diabetes","","","","","<0.001"
"  Yes","3.05","8.77","15.06","26.94",""
"  No","96.95","91.23","84.94","73.06",""
"High blood pressure","","","","","<0.001"
"  Yes","13.83","28.65","39.09","52.79",""
"  No","86.17","71.35","60.91","47.21",""
"Coronary heart disease","","","","","<0.001"
"  Yes","0.88","2.33","4.35","7.41",""
"  No","99.12","97.67","95.65","92.59",""
"Cancer","","","","","<0.001"
"  Yes","5.19","9.72","12.14","16.96",""
"  No","94.81","90.28","87.86","83.04",""
"Stroke","","","","","<0.001"
"  Yes","0.87","2.20","3.12","5.82",""
"  No","99.13","97.80","96.88","94.18",""
"PIR","3.14 ± 1.67","3.21 ± 1.64","3.00 ± 1.66","2.64 ± 1.59","<0.001"
"Weight","74.65 ± 16.99","82.21 ± 19.52","86.55 ± 21.92","91.49 ± 25.30","<0.001"
"Average alcohol consumption","3.32 ± 20.79","4.47 ± 42.31","3.06 ± 22.29","3.42 ± 31.09","0.657"
"Triglycerides","93.90 ± 87.54","117.67 ± 101.41","132.38 ± 116.06","135.88 ± 87.89","<0.001"
"HDL-C","57.45 ± 16.53","53.87 ± 16.69","52.12 ± 17.01","51.26 ± 14.85","<0.001"
"LDL-C","106.55 ± 33.30","115.17 ± 34.30","116.22 ± 36.65","111.21 ± 36.52","<0.001"
"Total cholesterol","182.69 ± 38.43","194.07 ± 40.07","195.75 ± 42.85","191.54 ± 43.63","<0.001"
"BMI","24.97 ± 4.76","28.37 ± 5.36","30.75 ± 6.38","34.22 ± 7.84","<0.001"
"Waist circumference","86.03 ± 10.61","97.33 ± 11.66","104.94 ± 13.24","115.26 ± 16.13","<0.001"
